key,is_bi,lstm_layers,lstm_hidden_dim,out_layers,special_tokens,tag_mode,loss,accuracy,f1,explained_variance,alpha
bi_1_32_1_bow_first,True,1,32,1,bow,first,1.5420116583506267,0.5639840364456177,0.46419381483895955,0.029119908624805287,18.78646868665587
bi_1_32_1_bow_last,True,1,32,1,bow,last,1.5498118003209431,0.5868879556655884,0.4737520428716237,0.0695498646867958,25.66460758651743
bi_1_32_1_bow_terminal,True,1,32,1,bow,terminal,2.5230443477630615,0.5063038468360901,0.32964287660125957,-0.03284202373840217,35.31537581136811
bi_1_32_1_eow_all,True,1,32,1,eow,all,3.17313281695048,0.47527778148651123,0.2843532702907831,-0.22969583156125384,31.05643370227947
bi_1_32_1_eow_first,True,1,32,1,eow,first,1.481905738512675,0.592771589756012,0.4769493096313491,0.1349411243615395,23.783574518378828
bi_1_32_1_eow_last,True,1,32,1,eow,last,1.5761700073877971,0.5620928406715393,0.4380249507811294,-0.025819783696668486,20.101441195748052
bi_1_32_1_eow_terminal,True,1,32,1,eow,terminal,2.4552913506825766,0.5039924383163452,0.36523850755923787,-0.1273550392093985,33.09947521005091
bi_1_32_1__all,True,1,32,1,,all,3.0258100827534995,0.48795410990715027,0.2638633336127587,-0.23323058763673954,27.001093254436213
bi_1_32_1__first,True,1,32,1,,first,1.6912261644999187,0.5971842408180237,0.4903409126609631,0.08183657302901393,36.796310935715006
bi_1_32_1__last,True,1,32,1,,last,1.767067273457845,0.5921412110328674,0.4191079635082506,0.16152130895498829,42.81056066244351
bi_1_32_1__terminal,True,1,32,1,,terminal,2.619753440221151,0.4760979413986206,0.31353019460049386,-0.25409993869307645,35.72724843313811
bi_1_64_1_#ow_all,True,1,64,1,#ow,all,3.434654156366984,0.4421108067035675,0.2734722353073994,-0.24020202640584573,34.320844023987014
bi_1_64_1_#ow_first,True,1,64,1,#ow,first,1.4264287153879802,0.5786929726600647,0.4863412980506079,0.030107396095249706,19.17984188133618
bi_1_64_1_#ow_last,True,1,64,1,#ow,last,1.427171270052592,0.5772221088409424,0.47513099485791765,-0.007345371052572824,20.386975937633526
bi_1_64_1_#ow_terminal,True,1,64,1,#ow,terminal,2.526921113332113,0.43664634227752686,0.31564763744614355,-0.2261682030463081,27.82533262141888
bi_1_64_1_bow_all,True,1,64,1,bow,all,3.1688825289408364,0.46511110663414,0.29752165561737987,-0.23147957802298524,32.6365733236701
bi_1_64_1_bow_first,True,1,64,1,bow,first,1.4793997208277385,0.5658751726150513,0.4628276089020549,0.042502933886891525,19.860013852636563
